"B19013_001E","enrollment","FourYrDrop_Campus","FourYrGrad_Campus","CollegeReady_Math_Campus","CollegeReady_Reading_Campus","Attendance_All","Year","CNTYNAME","NAME"
42302,642,0.047,0.9005,0.362,0.336,0.9335,2015,"BEE","Bee County, Texas"
44005,657.5,0.0505,0.9055,0.3515,0.294,0.929,2016,"BEE","Bee County, Texas"
45415,655,0.037,0.9225,0.5005,0.2985,0.9255,2017,"BEE","Bee County, Texas"
42032,628.5,0.028,0.958,0.405,0.2125,0.926,2018,"BEE","Bee County, Texas"
44578,610,0.0335,0.951,0.397,0.2655,0.929,2019,"BEE","Bee County, Texas"
48618,875.333333333333,0.0700625,0.7768125,0.600625,0.504375,0.913176470588235,2010,"BELL","Bell County, Texas"
49466,831.684210526316,0.0624666666666667,0.818,0.597333333333333,0.467333333333333,0.863736842105263,2011,"BELL","Bell County, Texas"
50085,853.631578947368,0.053,0.813,0.52125,0.624375,0.918888888888889,2012,"BELL","Bell County, Texas"
50060,865.842105263158,0.0691176470588235,0.746058823529412,0.665625,0.516875,0.870421052631579,2013,"BELL","Bell County, Texas"
51027,685.592592592592,0.0794705882352941,0.792882352941176,0.345652173913043,0.243478260869565,0.824894736842105,2014,"BELL","Bell County, Texas"
50550,749.153846153846,0.0764666666666667,0.862266666666667,0.409826086956522,0.283,0.823153846153846,2015,"BELL","Bell County, Texas"
51529,720.464285714286,0.0846666666666667,0.852,0.346958333333333,0.226875,0.85228,2016,"BELL","Bell County, Texas"
52583,772.481481481481,0.0638235294117647,0.804941176470588,0.404666666666667,0.257041666666667,0.853037037037037,2017,"BELL","Bell County, Texas"
54184,743.392857142857,0.174521739130435,0.669130434782609,0.435,0.28228,0.817571428571429,2018,"BELL","Bell County, Texas"
54884,748.75,0.16804347826087,0.666913043478261,0.391416666666667,0.2715,0.821518518518519,2019,"BELL","Bell County, Texas"
47048,1123.48051948052,0.161426229508197,0.633147540983606,0.4859375,0.52640625,0.860466666666667,2010,"BEXAR","Bexar County, Texas"
48083,1147.98684210526,0.128172413793103,0.711431034482759,0.565230769230769,0.499090909090909,0.865631578947368,2011,"BEXAR","Bexar County, Texas"
49141,1167.75,0.124269841269841,0.716412698412698,0.561212121212121,0.609090909090909,0.881842105263158,2012,"BEXAR","Bexar County, Texas"
50112,1192.76,0.123870967741935,0.729047619047619,0.60530303030303,0.556515151515152,0.864373333333333,2013,"BEXAR","Bexar County, Texas"
50867,1188.57142857143,0.107338461538462,0.768090909090909,0.296774193548387,0.238387096774194,0.881478873239437,2014,"BEXAR","Bexar County, Texas"
51150,1265.45945945946,0.100369230769231,0.782969230769231,0.424606557377049,0.3185,0.876878378378378,2015,"BEXAR","Bexar County, Texas"
52353,1277.04054054054,0.08575,0.801484375,0.457213114754098,0.323180327868852,0.861635135135135,2016,"BEXAR","Bexar County, Texas"
53999,1217.34615384615,0.0834761904761905,0.802269841269841,0.539692307692308,0.392953846153846,0.86075,2017,"BEXAR","Bexar County, Texas"
55456,1234.59210526316,0.0884915254237288,0.839084745762712,0.540285714285714,0.414414285714286,0.861666666666667,2018,"BEXAR","Bexar County, Texas"
57157,1245.48,0.0862033898305085,0.828316666666667,0.544405797101449,0.407,0.88022972972973,2019,"BEXAR","Bexar County, Texas"
46128,250,0.0625,0.893,0.615,0.61,0.9505,2010,"BLANCO","Blanco County, Texas"
46457,251,0.0185,0.9525,0.73,0.7,0.9535,2011,"BLANCO","Blanco County, Texas"
46881,246,0,0.973,0.705,0.74,0.96,2012,"BLANCO","Blanco County, Texas"
49487,253.5,0.021,0.979,0.785,0.705,0.96,2013,"BLANCO","Blanco County, Texas"
51740,259,0.04,0.951,0.425,0.32,0.9565,2014,"BLANCO","Blanco County, Texas"
